video,n_frames_sampled,n_frames_with_face,detection_rate,eye_openness_mean,eye_openness_var,mouth_openness_mean,mouth_openness_var,head_yaw_mean,head_yaw_var,head_pitch_mean,head_pitch_var,head_roll_mean,head_roll_var
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-01-01-01.mp4,49,49,1.0,0.21216590552463185,0.0023987034616040803,0.048919246116704576,0.004245609499667641,55.254737993531556,0.29226968036378786,3.2741215951411813,0.0003833146377957286,178.71141024308739,0.0014129653439578505
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-01-02-01.mp4,50,50,1.0,0.19447155683377407,0.0015511271533611315,0.0467879908931013,0.004002687466197459,28.071145169229606,0.5399128923929015,4.762224979681637,0.0008617945229636437,-178.15384295587734,0.0008328897756317843
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-02-01-01.mp4,49,49,1.0,0.204348487574478,0.002734128462087508,0.04202486931767547,0.003264719063150738,66.56027134587445,9.751583561690147e-05,-0.18317699313287816,0.0005183929996972481,170.88999084984596,0.0007114017107294757
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-01-01-02-02-01.mp4,47,47,1.0,0.2001008439298294,0.002221256680248825,0.06781151210403015,0.0034632876149611087,66.62243870668173,7.117081376817325e-05,1.7686063770270597,0.0004614206918723829,172.24387699688555,0.00017474936538619534
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-01-01-01.mp4,53,53,1.0,0.18723021218720495,0.0013838733587981733,0.04835984338825539,0.004242780524821453,64.58006117722306,0.09390982762400735,0.8628960286626826,0.00018119666486471342,171.05212883547776,0.0005579387467119501
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-01-02-01.mp4,54,54,1.0,0.20274825376990535,0.0022465254203315127,0.05051349212419401,0.0033832747806282356,66.84769492897334,8.924684899225266e-05,1.3259006766734893,0.00011466548010430344,174.77355566908162,9.902386842086663e-05
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-02-01-01.mp4,52,52,1.0,0.19681570457423836,0.0016528169410231345,0.051156724216641386,0.00367600077270344,67.78208296865901,8.672805471021672e-05,2.4438840758982217,0.00019271493626971115,172.06582319599053,0.0001093828449332257
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-01-02-02-01.mp4,52,52,1.0,0.19433374558892721,0.0010113411840763217,0.046584895537135886,0.0036185252804075614,68.47048110179571,0.00023054311006198702,0.5074308614982711,0.00044245700595990645,167.14519746085733,0.0016852145210193292
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-02-01-01-01.mp4,55,55,1.0,0.17203816113585238,0.00143946417992239,0.05286893291047055,0.003270221062892658,66.1819273066637,0.00012335137525576467,-0.43029520052292425,0.0002501911933669998,177.28517999962992,0.00022091135645974092
archive\Data\Video_Dataset\Video_Dataset\Video_Speech_Actor_01\Actor_01\01-01-02-02-01-02-01.mp4,60,60,1.0,0.18868060187082428,0.0008002888604069963,0.08252076730054408,0.0030915163373472308,60.036887726773664,0.21993325086815496,2.7321656738303863,0.0005714276819891451,176.13629862197934,0.0024445615134082166
